name|position|price
Cristiano Ronaldo|forward|100
James Rodríguez|forward|1
Diego Costa|forward|1
Ederson|goalkeeper|1
Bernardo Silva|midfielder|1
Ángel Di María|midfielder|1
Gonçalo Guedes|forward|1
João Cancelo|defender|1
Nicolás Otamendi|defender|1
Nélson Semedo|defender|1
Faouzi Ghoulam|forward|1
André Silva|forward|1
Rúben Dias|defender|1
Pizzi|midfielder|1
Renato Sanches|midfielder|1
Rui Patrício|goalkeeper|1
André Gomes|midfielder|1
Rúben Neves|midfielder|1
Andre Gray|forward|1
Ezequiel Garay|defender|1
Diogo Jota|forward|1
Falcao|forward|1
Hélder Costa|forward|1
João Moutinho|forward|1
Carlos Vela|forward|1
Ivan Cavaleiro|forward|1
Miranda|defender|1
Wallace|forward|1
Nélson Oliveira|forward|1
Fábio Coentrão|defender|1
Anwar El Ghazi|forward|1
Nikola Vukcevic|midfielder|1
Daniel Podence|forward|1
Sidnei|defender|1
Gil Dias|midfielder|1
Roderick Miranda|defender|1
Miguel Veloso|midfielder|1
Joel Tagueu|forward|1
José Sá|goalkeeper|1
João Carvalho|midfielder|1
Diogo Gonçalves|forward|1
Pepe|defender|1
Ricardo Quaresma|forward|1
Ahmed Hassan|forward|1
Burgui|forward|1
João Gamboa|forward|1
Bebé|forward|1
Filipe Augusto|forward|1
Tiago Ferreira|forward|1
André Moreira|goalkeeper|1
João Teixeira|forward|1
Vítor Gomes|forward|1
Bruno Gama|forward|1
Danny|forward|1
Alípio|forward|1
Gabrielzinho|forward|1
André Geraldes|defender|1
Bruno Alves|defender|1
Jota|forward|1
Nadjack|forward|1
Ricardo Carvalho|forward|1
Tiago Sá|forward|1
Djavan Anderson|forward|1
Reko|forward|1
Ença Fati|forward|1
Thabo Cele|forward|1
Mitchell van Rooijen|forward|1
Ronan|forward|1
Guga|forward|1
Walter Patrick|forward|1
Mário Sérgio|forward|1
Tomás Reymão|forward|1
Jorge Ribeiro|forward|1
Rafa|forward|1
Tiago Alves|forward|1
Fabiano Rossato|forward|1
Migas|forward|1
Enkelejd Cankja|forward|1
Diogo Brás|forward|1
Gonçalo Loureiro|forward|1
Bernardo Sousa|forward|1
André Martins|forward|1